Data;old_position;finger_position;key_moving;rounded_key;current_position
1;56;1010;0;56;342
2;342;1017;0;1035;544
3;544;1013;0;1035;685
4;685;1011;0;1035;783
5;783;1009;0;985;850
6;850;1008;0;985;897
7;897;1006;0;985;930
8;930;1005;0;985;952
9;952;1004;0;985;968
10;968;1002;0;985;978
11;978;1002;0;985;985
12;985;1000;0;985;989
13;989;998;0;985;992
14;992;998;0;985;994
15;994;997;0;985;995
16;995;994;0;985;995
17;995;994;0;985;994
18;994;994;0;985;994
19;994;992;0;985;993
20;993;990;0;985;992
21;992;989;0;985;991
22;991;987;0;985;990
23;990;985;0;985;988
24;988;977;0;985;985
25;985;970;0;985;980
26;980;968;0;985;977
27;977;968;0;985;974
28;974;964;0;985;971
29;971;959;0;935;967
30;967;948;0;935;961
31;961;945;0;935;956
32;956;943;0;935;952
33;952;942;0;935;949
34;949;940;0;935;946
35;946;936;0;935;943
36;943;931;0;935;939
37;939;923;0;935;934
38;934;916;0;935;929
39;929;912;0;935;923
40;923;909;0;885;919
41;919;907;0;885;915
42;915;904;0;885;912
43;912;897;0;885;907
44;907;891;0;885;902
45;902;882;0;885;896
46;896;881;0;885;891
47;891;876;0;885;887
48;887;872;0;885;882
49;882;869;0;885;878
50;878;866;0;885;874
51;874;862;0;885;870
52;870;861;0;885;867
53;867;859;0;835;865
54;865;854;0;835;861
55;861;851;0;835;858
56;858;848;0;835;855
57;855;847;0;835;852
58;852;844;0;835;850
59;850;840;0;835;847
60;847;834;0;835;843
61;843;833;0;835;840
62;840;831;0;835;837
63;837;830;0;835;835
64;835;829;0;835;833
65;833;827;0;835;831
66;831;825;0;835;829
67;829;822;0;835;827
68;827;818;0;835;824
69;824;817;0;835;822
70;822;815;0;835;820
71;820;814;0;835;818
72;818;812;0;835;816
73;816;809;0;785;814
74;814;808;0;785;812
75;812;807;0;785;810
76;810;806;0;785;809
77;809;804;0;785;807
78;807;803;0;785;806
79;806;801;0;785;804
80;804;800;0;785;803
81;803;798;0;785;801
82;801;797;0;785;800
83;800;796;0;785;799
84;799;795;0;785;797
85;797;793;0;785;796
86;796;791;0;785;794
87;794;790;0;785;793
88;793;789;0;785;792
89;792;788;0;785;790
90;790;787;0;785;789
91;789;786;0;785;788
92;788;785;0;785;787
93;787;784;0;785;786
94;786;783;0;785;785
95;785;782;0;785;784
96;784;781;0;785;783
97;783;780;0;785;782
98;782;779;0;785;781
99;781;777;0;785;780
100;780;775;0;785;778
101;778;775;0;785;777
102;777;775;0;785;776
103;776;775;0;785;776
104;776;776;0;785;776
105;776;777;0;785;776
106;776;778;0;785;776
107;776;779;0;785;777
108;777;780;0;785;778
109;778;781;0;785;779
110;779;782;0;785;779
111;779;783;0;785;780
112;780;784;0;785;781
113;781;785;0;785;782
114;782;787;0;785;784
115;784;788;0;785;785
116;785;790;0;785;786
117;786;791;0;785;787
118;787;793;0;785;789
119;789;794;0;785;790
120;790;798;1;785;792
121;792;802;1;785;795
122;795;806;1;785;798
123;798;809;1;785;801
124;801;811;0;835;804
125;804;813;0;835;807
126;807;815;0;835;809
127;809;816;0;835;811
128;811;820;1;835;814
129;814;822;0;835;816
130;816;825;1;835;818
131;818;826;0;835;821
132;821;827;0;835;822
133;822;829;0;835;824
134;824;830;0;835;826
135;826;835;1;835;828
136;828;838;1;835;831
137;831;843;1;835;835
138;835;846;1;835;838
139;838;851;1;835;842
140;842;855;1;835;845
141;845;859;1;835;849
142;849;863;1;885;853
143;853;866;1;885;857
144;857;869;1;885;860
145;860;875;1;885;865
146;865;880;1;885;869
147;869;884;1;885;873
148;873;889;1;885;878
149;878;895;1;885;883
150;883;901;1;885;888
151;888;908;1;885;894
152;894;914;1;935;900
153;900;921;1;935;906
154;906;928;1;935;912
155;912;937;1;935;920
156;920;946;1;935;927
157;927;953;1;935;935
158;935;960;1;985;942
159;942;966;1;985;949
160;949;972;1;985;956
161;956;978;1;985;962
162;962;990;1;985;971
163;971;1002;1;985;980
164;980;1012;1;1035;989
165;989;1022;1;1035;999
166;999;1030;1;1035;1008
167;1008;1037;1;1035;1017
168;1017;1044;1;1035;1025
169;1025;1056;1;1035;1034
170;1034;1068;1;1085;1044
171;1044;1078;1;1085;1054
172;1054;1086;1;1085;1063
173;1063;1093;1;1085;1072
174;1072;1098;1;1085;1080
175;1080;1103;1;1085;1087
176;1087;1111;1;1135;1094
177;1094;1117;1;1135;1101
178;1101;1124;1;1135;1107
179;1107;1129;1;1135;1114
180;1114;1137;1;1135;1121
181;1121;1143;1;1135;1127
182;1127;1149;1;1135;1134
183;1134;1154;1;1135;1140
184;1140;1159;1;1135;1145
185;1145;1162;1;1185;1150
186;1150;1166;1;1185;1155
187;1155;1171;1;1185;1159
188;1159;1178;1;1185;1165
189;1165;1181;1;1185;1170
190;1170;1185;1;1185;1174
191;1174;1188;1;1185;1178
192;1178;1189;0;1185;1181
193;1181;1192;1;1185;1184
194;1184;1195;1;1185;1187
195;1187;1199;1;1185;1191
196;1191;1204;1;1185;1195
197;1195;1205;0;1185;1198
198;1198;1206;0;1185;1200
199;1200;1208;0;1185;1202
200;1202;1210;0;1235;1204
201;1204;1214;1;1235;1207
202;1207;1216;0;1235;1210
203;1210;1217;0;1235;1212
204;1212;1220;1;1235;1214
205;1214;1226;1;1235;1217
206;1217;1229;1;1235;1221
207;1221;1230;0;1235;1223
208;1223;1232;0;1235;1226
209;1226;1233;0;1235;1228
210;1228;1235;0;1235;1230
211;1230;1237;0;1235;1232
212;1232;1238;0;1235;1234
213;1234;1239;0;1235;1235
214;1235;1240;0;1235;1236
215;1236;1241;0;1235;1238
216;1238;1242;0;1235;1239
217;1239;1244;0;1235;1240
218;1240;1245;0;1235;1241
219;1241;1246;0;1235;1243
220;1243;1247;0;1235;1244
221;1244;1250;1;1235;1246
222;1246;1251;0;1235;1247
223;1247;1252;0;1235;1248
224;1248;1254;0;1235;1250
225;1250;1255;0;1235;1251
226;1251;1257;0;1235;1253
227;1253;1260;1;1285;1255
228;1255;1264;1;1285;1257
229;1257;1267;1;1285;1260
230;1260;1270;1;1285;1263
231;1263;1271;0;1285;1265
232;1265;1272;0;1285;1267
233;1267;1274;0;1285;1269
234;1269;1275;0;1285;1271
235;1271;1277;0;1285;1272
236;1272;1278;0;1285;1274
237;1274;1280;0;1285;1276
238;1276;1281;0;1285;1277
239;1277;1283;0;1285;1279
240;1279;1284;0;1285;1280
241;1280;1285;0;1285;1281
242;1281;1286;0;1285;1283
243;1283;1287;0;1285;1284
244;1284;1288;0;1285;1285
245;1285;1289;0;1285;1286
246;1286;1290;0;1285;1287
247;1287;1291;0;1285;1288
248;1288;1292;0;1285;1289
249;1289;1293;0;1285;1290
250;1290;1294;0;1285;1291
251;1291;1295;0;1285;1292
252;1292;1296;0;1285;1293
253;1293;1297;0;1285;1294
